AIMARA,ESPAÑOL,INGLES
Kamis kunjamasktas kullaka?,"Hola, ¿cómo estás hermana?","Hello, how are you, Sister?"
Walikistwa kullaka. Jumasti kunjamastasa?,Estoy bien hermana ¿y tú cómo estás?,"I'm fine sister, and how are you?"
"Ukhamaraki, walikisktwa. Kullaka phuqhat sutimax kunasa?",También estoy bien. ¿Hermana cuál es tu nombre completo?,I'm fine too. Sister what is your full name?
Nayan phuqhat sutijax Dana Anahi Iturralde Choque satawa,Mi nombre completo es Dana Anahi Iturralde Choque,My full name is Dana Anahi Iturralde Choque.
Jumasti kullaka?,¿Y de ti hermana?,What about you sister?
Nayan phuqhat sutijax María Dionisia Choque Ajata satawa,Mi nombre completo es María Dionisia Choque Ajata,My full name is Maria Dionisia Choque Ajata.
Jumax jilanitati?,¿Tú tienes hermanos?,You've got brothers?
"Jisa pä jilanitwa, ukat pä kullakanitwa","Si, tengo 2 hermanos y 2 hermanas","Yes, I have 2 brothers and 2 sisters."
Jilir jilamax kuna sutinisa?,¿Tu hermano mayor qué se llama?,What's your older brother's name?
Jilir jilajax Macario satawa,Mi hermano mayor se llama Macario,My older brother is called Macario
Jumasti kullaka?,¿Y tú hermana?,And your sister?
Nayax janiw jilanikti. Jilir jilamax qawqha maranisa?,Yo no tengo hermanos. ¿Tu hermano mayor cuántos años tiene?,I have no brothers. How old is your older brother?
Jilir jilajax suxta tunka payani maraniwa. Juman tatamax qawqha maranisa?,Mi hermano mayor tiene 62 años ¿Y tu papá cuántos años tiene?,My older brother is 62 years old. And how old is your father?
Tatajax phisqa tunka kimsani maraniwa,Mi papá tiene 53 años,My dad is 53 years old
Khaya utax tatamanki?,¿Aquella casa es de tu papá?,Is that house your dad's?
Jisa tatajankiwa,"Sí, es de mi papá","yes, it belongs to my dad"
Jupax khitisa?,¿Él quién es?,Who is he?
Jupax yatichirijawa,Él es mi profesor,he is my teacher
Kuna sutinisa?,¿Qué se llama?,What is he called?
Jupax Román Pairumani satawa,Él se llama Román Pairumani,His name is Roman Pairumani
Akax kunasa?,¿Esto qué es?,What is this?
Ukax pankanakajawa,Esos son mis libros,those are my books
Qhawqha pankanakanitasa?,¿Cuántos libros tienes?,How many books do you have?
Kimsa tunka pusini pankanitwa?,Tengo 34 libros,I have 34 books
Kullaka kuna maranktansa?,¿Hermana que año estamos?,"Sister, what year are we in?"
Pä waranka pä tunka mayani maranktanwa?,Estamos en el año 2021,We are in the year 2021
Kuna phaxintansa? Jichhurux kuna urusa?,¿En qué mes estamos? ¿Qué día es hoy?,What month are we in? What day is today?
"Taypi sata phaxsinktanwa, jichhurux ñanqha uruwa",Estamos en octubre y hoy es viernes,We are in October and today is Friday
Kuna pachasa?,¿Qué hora es?,What time is it?
Kimsa jayp'ut kimsa tunka katanakaw saraqxi,Son las 3:30 de la tarde,It's 3:30 in the afternoon
Kullaka María uywanitati?,¿Hermana María tienes animales?,Sister Maria do you have animals?
Jisa mä anunithwa,"Sí, tengo un perro","Yes, I have a dog"
Kuna saminisa?,¿Qué color es?,What color is?
Anitujax ch'iyarawa,Mi perrito es negro,my puppy is black
Jumax kuna luriritasa?,¿A qué te dedicas?,What do you do for a living?
Nayax phayiritwa. Qharurux saxta phayä?,Yo soy cocinera. Mañana cocinaré sajta,I'm a cook. Tomorrow I will cook sajta
Saxtax kunjamas phayaña?,¿Cómo se cocina la sajta?,How is sajta cooked?
"Wallpa aycha wallxtayaña, siwullampi, arwijampi, ch’uñumpi, ch’uqimpi, taqi ukaw qhathiyaña","Hay que hacer hervir el pollo, cebolla, arveja, chuño, papa, todo hay que hacer cocer","You have to boil the chicken, onion, peas, chuño, potato, everything has to be cooked"
Waliki kullaka,Está bien hermana,it's ok sister
Kullaka kunats llakitata? Kunas ustam?,¿Hermana de qué tienes pena? ¿Qué te duele?,"Sister, what are you sorry for? What hurts you?"
"Amparaja p'akjastha, walpiniwa ususkitu","Mi mano me he roto, y me está doliendo mucho","My hand has been broken, and it is hurting me a lot"
Kullaka qulliriwkar saram,Hermana anda al médico,sister go to the doctor
"Jisa kullaka, sarä?","Si hermana, iré","Yes sister, I will go"
Sarxamay Kullaka,Anda pues hermana,go then sister
Aski urkïpan kullaka,Buen día hermana,good morning sister
Aski urukipanaya jilata,Buen día hermano,Good day brother
¿Kullaka kunas puqhat sutimaxa?,¿Cuál es tu nombre completo hermana?,What is your full name sister?
"Nayan sutijax Sulma Mery Mamani Veliz satatwa, Jumansti jilata?",Mi nombre es Sulma Mery Mamani Veliz ¿y de vos hermano?,"My name is Sulma Mery Mamani Veliz, and your brother?"
Nayan sutijax Ever Milan Garcia ukhama satatwa kullaka,Mi nombre es Ever Milan García hermana,My name is Ever Milan Garcia sister
Kullaka Sulma qawqha maranitasa?,¿Hermana Sulma cuántos años tienes?,"Sister Sulma, how old are you?"
Nayax pä tunka llätunkani maritwa. ¿Jumasti jilata Ever?,Yo tengo 29 años ¿y tú hermano Ever?,"I am 29 years old, and your brother Ever?"
Nayax pusi tunka maranitwa kullaka Sulma,Yo tengo 40 años hermana Sulma,I am 40 years old sister Sulma
Kullaka Sulma kawkitarakïta?,Hermana Sulma ¿de dónde eres?,"Sister Sulma, where are you from?"
"Nayax Salinas Markatatwa, jumasti Jilata?",Yo soy de Salinas ¿tú de dónde eres?,"I'm from Salinas, where are you from?"
Nayax Llika Markatatwa kullaka Sulma,Yo soy de Llica hermana Sulma,I am from Llica sister Sulma
Kullaka kunans irnaqta?,¿Hermana en qué trabajas?,"Sister, what are you working on?"
Nayax irnaqtwa juyra yapuchirita,Yo trabajo de agricultor,I work as a farmer
Tatamampi mamamampix jakaskiti kullaka Sulma?,Tu papá y tu mamá viven hermana Sulma?,Your mom and dad live sister Sulma?
"Jisa mamajampi tatajampix jakaskiwa, jumansti?","Sí, mi mamá y mi papá viven ¿y de ti?","Yes, my mom and dad live, and you?"
"Nayan tatajax janiw utjkituti, mamajakiw utjitu","No tengo papá, sólo tengo mi mamá","I don't have a dad, I only have my mom."
Kullaka Sulma walikisktati?,¿Hermana Sulma estás bien?,"Sister Sulma, are you alright?"
"Janiwa jilata Ever, nayarux p’iqiw anch usutu. Jumasti walikisktati?",Hermano Ever a mí me duele mucho mi cabeza. ¿Y tú estás bien?,"Brother Ever, my head hurts a lot. And you are well?"
"Janirakiw kullaka, purakaw usutu, kuns umantiristha","No también hermana, me duele mi estomago ¿qué puedo tomar?","Not too sister, my stomach hurts, what can I take?"
"Jilata payqu uma umantam junt’pacha, ukax walichatamwa",Hermano toma mate de paico caliente y eso te hará bien,Brother drink mate from hot paico and that will do you good
Pay suma kullaka,Gracias hermana,Thank you sister
Jichhurux kuns luräta kullaka?,¿Qué harás hoy hermana?,What will you do today sister?
"Nayax jupha satiriw sarä, jumasti jilata?",Yo iré a sembrar quinua ¿y tú hermano?,"I'm going to plant quinoa, and your brother?"
Nayax Ch ́uqi satiriw sarä,Yo iré a sembrar papa,I will go to plant potatoes
Sulma kuna uywanakanitasa?,¿Sulma que animales tienes?,What animals do you have?
"Nayax qarwanakani, iwijanakanitwa, jumansti?",Yo tengo llamas y ovejas ¿y tú?,"I have llamas and sheep, and you?"
Nayanxa jani kunas utjkituti. Qarwamaxa kuna saminakanisa?,Yo no tengo nada. ¿De qué color son tus llamas?,I do not have anything. What color are your flames?
"Ch’iyaranaka, allqanaka, janq’unaka, uqinaka uka saminakaniwa","Negros, mezclados, blancos, plomos esos colores tienen","Black, mixed, white, lead those colors have"
"Waliki kullaka, nayarux janq’u samini qarwanakaw wali aski, inach mayita waxt ́itasma.","Muy bien hermana, a mí me gustan las llamas blancas, a ver si uno me puedes regalar.","Very good sister, I like white llamas, let's see if you can give me one."
"Mayita waxt'irismawa, mä mara awatisma uka pacha","Te puedo regalar uno, si pasteas un año","I can give you one, if you graze for a year"
Jisa awatiristhwa kullaka,"Sí, puedo pastear hermana",Yes I can graze sister
Kullaka kuna manq’anaksa phayaña yatta?,¿Hermana que comidas sabes cocinar?,"Sister, what foods do you know how to cook?"
"Nayax p'isqi, phisara, jupha allpi, ch’uñu phuti ukanaka yattha, jumasti?","Yo sopa de quinua, graneado de quinua, lawa, chuño graneado eso se ¿y tú?","I quinoa soup, grained quinoa, lawa, grained chuño, I know that, and you?"
"Nayax fricase khuchi aychata, ukhamaraki wallpa aychata phayaña yattha","Yo fricase de chancho, de pollo se cocinar","I fricassee pork, I can cook chicken"
Jichhurux kuna urusa kullaka?,¿Hoy que día es hermana?,What day is today sister?
Jichhurux phaxsi uruwa jilata,Hoy es lunes hermano,today is monday brother
Kuna phaxsisa jilata?,¿Qué mes es hermano?,What month is it brother?
Taypi sata phaxsiwa kullaka,Es septiembre hermana,it's september sister
Kuna pachasa kullaka?,¿Qué hora es hermana?,What time is it sister?
Kimsa qalqu alwa pachawa,Son las 08:00 de la mañana,It's 08:00 in the morning
Wasurux kawkirus sarta kullaka?,¿Ayer donde has ido hermana?,Yesterday where did you go sister?
Nayax uywarü sartha,He ido donde los animales,I have gone where the animals
"Jumasti, qharurux kawkiruraki saräta?","¿Y tú, mañana donde vas ir?","And you, tomorrow where are you going?"
Aka Illapa urux nayax Uru Uru markaruw anatiri sarä,El jueves yo iré a Oruro a jugar,On Thursday I will go to Oruro to play
Kunarsas kutt’anita?,¿Cuándo vas volver aquí?,When are you going to come back here?
Inti uruw kutt’anï kullaka,Voy a volver el domingo hermana,I will come back on Sunday sister
Uka jichhu utax jumankiti?,¿Esa casa con paja es de vos?,Is that straw house yours?
"Jisa, uka utax naynakiwa","Sí, esa es mi casa",yes that's my house
Juman utamaxa kawkinkisa,¿De vos tu casa dónde está?,Where is your house from you?
"Nayan utajax qullunkiwa, qalanakampi luratawa, mujunasti jichhutawa","Mi casa está en el cerro, es con piedras y el techo de paja","My house is on the hill, it is with stones and a thatched roof"
Waliki jilata,Muy bien hermano,Very good brother
Khayan mä jaqiw saraski khitiraki? Tatamacha?,Alla está yendo una persona quién es? ¿O es tu papá?,There is a person going there who is it? Or is it your dad?
"Jisa jupawa, tatajawa uywa ansuriw sarkaspacha niy pachaxiwa","Si, él es mi papá, debe estar yendo a sacar los animales ya es hora","Yes, he's my dad, he must be going to get the animals, it's about time."
Waliki kullaka,Muy bien hermana,Very good sister
Jikisiñkam jilata Ever,Hasta pronto hermano Ever,See you soon brother ever
Jikisiñkamay kullaka Sulma,Hasta luego hermana Sulma,See you later sister Sulma
Aski urukïpan kullaka,Buenos días hermana,Good morning sister
Aski urukïpanay jilata,Buenos días hermano,Good morning brother
Kamisaki kullaka?,¿Cómo esta hermana?,Like this sister?
"Waliki jilata, Juman sutimax kunasa?",Bien hermano ¿cuál es tu nombre?,Well brother what's your name?
Nayan sutijax Rogeliowa. Jumansti?,Mi nombre es Rogelio ¿Y el tuyo?,"My name is Roger, and yours?"
Nayan situjax Ceciliawa,Mi nombre es Cecilia,My name is Cecilia
Nayax Ayaviritatwa. Jumax kawki markatatasa?,Yo soy de Ayaviri. ¿Tú de dónde eres?,I am from Ayaviri. Where are you from?
Nayax La Paz markatatwa,Yo soy de la Paz,I am from peace
Qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
Nayax kimsa tunka phisqani maranithwa,Yo tengo 35 años,I'm 35 years old
Ukax kunasa?,¿Qué es eso?,What's that?
Ukax khunuwa,Eso es nevada,that's snowfall
Wali sumawa. ¿Jumax kuna luriritasa?,Es muy bonito. ¿A qué te dedicas?,Is very pretty. What do you do for a living?
"Nayax arquitectutwa, jumasti?",Yo soy arquitecta ¿y tú?,"I am an architect, and you?"
Nayax yatiqiritwa. Qhawqha jilatanitasa? Yo soy estudiante. ¿Cuántos hermanos tienes?,,
Nayax pä jilanitwa,Yo tengo 2 hermanos,I have 2 brothers
Kullakasti?,¿Y hermanas?,And sisters?
Janiw kullakanikti,No tengo hermanas,I do not have sisters
Walikipuniw kullaka,Muy bien hermana,Very good sister
Uka lluch’un chanipax qawqhasa?,¿Cuál es el precio de ese chulo?,What's the price of that pimp?
Pä tunkawa,Es 20,it's 20
Uka ch’iyara chumpan chanipax qawqhasa?,¿Cuál es el precio de esa chompa negra?,What is the price of that black sweater?
"Patakawa, kunas ustam?","100, ¿qué te duele?","100, what hurts you?"
P’iq’iw anchapuni usutu,Me duele mucho la cabeza,My head hurts a lot
Jumax qawqha uywanitasa?,¿Cuántos animales tienes?,How many animals do you have?
"Nayax mä phisimpi, mä anumpiw utjitu",Yo tengo un gato y un perro,I have a cat and a dog
Kuna saminis phisimaxa?,¿Qué color es tú gato?,What color is your cat?
Phisijax janq’u saminiwa,Mi gato es de color blanco,my cat is white
Anumansti?,¿Y tú perro?,And your dog?
Anujax ch’iyara saminiwa,Mi perro es de color negro,my dog ​​is black
Kuna phaxsisa?,¿Qué mes estamos?,What month are we?
Lapaqa phaxiwa,Es el mes de noviembre,It's the month of November
Jichhurux kuna urusa?,¿Qué día es hoy?,What day is today?
Jichhurux phaxsi uruwa,Hoy es lunes,Today is Monday
Kuns wasurux lurta?,¿Qué hiciste ayer?,What did you do yesterday?
Wasurux ikiskayathwa,Ayer yo estaba durmiendo,yesterday i was sleeping
Kuns qharurux luräta?,¿Qué harás mañana?,What will you do tomorrow?
Qharurux nayaw irnaqäwa,Mañana yo voy a trabajar,tomorrow I'm going to work
Jayp’urusti?,¿Y en la tarde?,And in the afternoon?
Nayax samaräwa,Yo voy a descansar,I'm going to rest
Nayax manq’iw jawillsma,Te invito a comer,I invite you to eat
Jisa sarañani,"Si, vamos",Yeah come on
Jumax kuna manq's munta?,¿Qué comida quieres,what food do you want
Nayax ispi muntha,Yo quiero ispi,i want ispi
Nayax ukapachparaki,Yo también,I also
Kullaka kuna pachasa?,¿Qué hora es hermana?,What time is it sister?
Tunka k’atanakampix paqallqu jayp’u pachaniwa,Menos 10 para las 07:00 de la tarde,Minus 10 for 07:00 in the afternoon
Jikisiñkam kullaka,Hasta luego hermana,see you later sister
Jikisiñkamay jilata,Hasta luego hermano,See you later brother
Aski urukïpan jilata,Buenos días hermano,Good morning brother
Aski urukïpanay kullaka,Buenos dias hermana,good morning sister
Kamisaki jilata?,¿Cómo está hermano?,How are you brother?
Waliki kullaka,Bien hermana,good sister
Juman sutimax kunasa jilata?,¿Cuál es tu nombre hermano?,What is your name brother?
Nayan sutijax Eusebiowa,Mi nombre es Eusebio,my name is eusebi
Jumansti kullaka?,¿Y tú hermana?,And your sister?
Nayan sutijax Yessicawa,Mi nombre es Yessica,My name is Jessica
Akax kunasa?,¿Qué es esto?,What's this?
Ukax aychaw kullaka,Eso es carne hermana,That's sister meat
Qawqha maranitasa jilata Eusebio?,¿Cuántos años tienes hermano Eusebio?,How old are you brother Eusebio?
Nayax pä tunka llätunkani maranitwa,Yo tengo 29 años,I'm 29 years old
"Jumasti kullaka Yessica, qawqha maranitasa?","¿y tu hermana Yessica, cuántos años tienes?","And your sister Yessica, how old are you?"
Nayax kimsa tunka maranitwa jilata,Yo tengo 30 años hermano,I am 30 years old brother
Qawqha jilatanitasa?,¿Cuántos hermanos tienes?,How many brothers you have?
Nayax phisqa jilanitwa,Yo tengo 5 hermanos,I have 5 brothers
Jumasti kullaka?,¿Y tú hermana?,And your sister?
Nayax pusi jilanitwa,yo tengo 4 hermanos,I have 4 brothers
Tatamax qhawqa jilanisa?,¿Tu papá cuántos hermanos tiene?,How many siblings does your dad have?
Tatajax kimsa jilaniwa,Mi papá tiene 3 hermanos,My dad has 3 brothers.
Qawqha phisinitasa jilata?,¿Cuántos gatos tienes hermano?,How many cats do you have brother?
"Janiw phisinikti, jumasti kullaka qawqha phisinitasa?","No tengo gatos. ¿Y tú hermana, cuántos gatos tienes?","I don't have cats. And your sister, how many cats do you have?"
Nayax pä phisinitwa,Yo tengo 2 gatos,I have 2 cats
Jumax kuna luriritasa jilata?,¿Tú qué haces hermano?,what are you doing brother?
"Nayax jakhuritwa kullaka, jumasti kullaka kuna luriritasa?","Yo soy contador hermana ¿y tú hermana, qué haces?","I am an accountant sister, and you sister, what do you do?"
Nayax aljiritwa jilata,Yo soy vendedora hermano,I'm a seller brother
Jilata kayuw usutu,Hermano el pie me duele,Bro my foot hurts
Kunjamas ustam?,¿Cómo te duele?,How does it hurt?
Juk’akiw usutu,Poquito me duele,it hurts a little
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
Anuw kay achuqitu,El perro me ha mordido el pie,The dog has bitten my foot
Qullasitaw kullaka,Te vas a curar hermana,you will heal sister
Jichhax kuna manq ́s munta?,"¿Ahora, qué comida quieres?",Now what food do you want?
"Nayax saxta muntha, jumasti jilata?","Yo quiero sajta, ¿y tú hermano?","I want sajta, and your brother?"
Nayax p’isqi muntha,Yo quiero pesque,I want to fish
Kullaka kawkinkis uywanakamaxa?,¿Hermana dónde están tus animales?,Sister where are your animals?
Uywanakajax utajankiwa,Mis animales están en mi casa,my animals are in my house
Kuna saminis phisimaxa?,¿De qué color es tu gato?,What color is your cat?
Phisijax janq ́umpi ch ́iyarampiwa,Mi gato es de color blanco y negro,My cat is black and white
Jilata kuna phaxsinktansa?,¿Hermano en qué mes estamos?,"Brother, what month are we in?"
Taypi sata phaxsinktanwa,Estamos en el mes de octubre,We are in the month of October
Kullaka urumax kuna phaxsinkisa?,¿Hermana en qué mes es tu cumpleaños?,"Sister, what month is your birthday?"
Urujax llumpaqa phaxsinkiwa,Mi cumpleaños es en el mes de agosto,My birthday is in the month of August
Jilata jichhurux kuna urusa?,¿Hermano qué día es hoy?,Brother what day is it today?
Jichhurux ñanqha uruwa,Hoy es viernes,Today is Friday
Kullaka wasurux kuna urunsa?,¿Hermana ayer qué día era?,"Sister, what day was it yesterday?"
Wasurux illap urunwa,Ayer era jueves,yesterday was thursday
Jilata qharurux kuna urunisa?,¿Hermano mañana qué día será?,Brother tomorrow what day will it be?
Qharurux samaña uruniwa,Mañana será sábado,Tomorrow will be saturday
Jilata kuna pachasa?,¿Hermano qué hora es?,Brother what time is it?
Suxta alwat tunka paqallquni k’atanakaw saraqxi,Son las 06:17 de la mañana,It's 06:17 in the morning
Aljiri sarä,Iré a vender,I will go to sell
Jikisiñkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan kullaka,Buenos días hermana,Good morning sister
Aski urukïpanay kullaka,Buenos días hermana,Good morning sister
Kamisaki kullaka,¿Cómo esta hermana?,Like this sister?
"Waliki, jumasti",Bien ¿y tú?,"Well, and you?"
"Janiw walikti, purakajaw usutu kullaka","No estoy bien, me duele mi estómago hermana","I'm not well, my stomach hurts sister"
Kunata?,¿Por qué?,Why?
Janiw yatkti,No sé,I dont know
Juman sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
"Nayan Sutijax Roxana, jumansti?","Mi nombre es Roxana, ¿y el tuyo?","My name is Roxana, and yours?"
Nayan sutijax Lourdes,Mi nombre es Lourdes,My name is Lourdes
Jumax kuna luriritasa?,¿Qué ocupación tienes?,What occupation do you have?
"Nayax p'ullqu aljiritwa, jumasti?","Soy vendedora de zapatos, ¿y tú?","I'm a shoe seller, and you?"
Nayax topografutwa,Yo soy topografo,I am a topographer
Tatamax kuna luririsa?,¿Cuál es su ocupación de tu papá?,What is your dad's occupation?
"Tatajax ingenierowa, jumansti?","Mi papa es ingeniero, ¿y de vos?","My dad is an engineer, what about you?"
Nayan tatajax yatichiriwa,Mi papá es profesor,My dad is a professor
Tataman sutipax kunasa?,¿Cómo se llama tu papá?,As it is called your dad?
"Tatajan sutipax Clemente satawa, jumansti?",Mi papá se llama Clemente ¿y de ti?,"My dad's name is Clemente, what about you?"
Tatajan sutipax Eloy satawa,De mi papá su nombre es Eloy,My dad's name is Eloy
Mamaman sutipasti?,¿Y tú mama cómo se llama?,"And your mom, what's his name?"
Mamajan sutipax Juanawa,De mi mamá su nombre es Juana,My mom's name is Juana
Mamamax kawki markatasa?,¿Tu mamá de que pueblo es?,What town is your mom from?
Mamajax Sucre markatawa,Mi mama es de Sucre,My mom is from Sucre
Jumax kawkitatasa?,¿Tú de dónde eres?,Where are you from?
"Nayax altu patatatwa, jumasti?","Soy de El Alto, ¿y tú?","I'm from El Alto, and you?"
Nayax altu patatarakitwa,Yo también soy de El Alto,I'm also from El Alto
Jumax qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
"Nayax kimsa tunka kimsani maranitwa, jumasti?","Yo tengo 33 años, ¿y tú?","I am 33 years old, and you?"
Nayax kimsa tunka pusini maranitwa,Yo tengo 34 años,I am 34 years old
"Waliki, Jumax jilanitati?","Bien, ¿tienes hermanos?","Well, do you have siblings?"
"Nayax mä sullkir jilatanitwa, jumasti?","Yo tengo un hermano menor, ¿y tú?","I have a younger brother, and you?"
"Janiw jilanikti, nayax mä sullkir kullakanitwa, nayax kimsa mara jiliritwa","No tengo hermanos, yo sólo tengo una hermana menor, yo soy 3 años mayor","I have no siblings, I only have a younger sister, I am 3 years older"
"Waliki, jumax qawqha wawanitasa?",¿Cuántos hijos tienes?,How many children do you have?
"Janiw nayax wawanikti, jumasti?",No tengo hijos ¿y tú?,"I do not have kids, What about you?"
"Nayax janiw wawanikti, nayax mä anunitwa, jumasti","Yo no tengo hijos, yo tengo un perro, ¿y tú?","I don't have children, I have a dog, and you?"
Nayax kimsa anunitwa,Yo tengo 3 perros,I have 3 dogs
"Waliki, Anunakamax urquti, qachunakachä?","Bien, ¿tus perros son machos o hembras?","Well, are your dogs male or female?"
"Mä qachumpi, pä urqumpiwa, jumansti?","Una hembra y 2 machos, ¿y de vos?","A female and 2 males, what about you?"
Anujax qachuwa,Mi perro es hembra,my dog ​​is female
"Waliki, nayramax kuna saminisa?","Bien, ¿de qué color son tus ojos?","Well, what color are your eyes?"
"Nayrajax ch’iyar ch’umphiwa, jumansti?","Mis ojos son Café oscuro, ¿y de vos?","My eyes are dark brown, what about you?"
Nayrajax ch’umphi saminiwa,Mis ojos son de color café,My eyes are brown
Urumax kuna phaxsinkisa?,¿En qué mes es tu cumpleaños?,What month is your birthday?
"Urujax lapaqa phaxsinkiwa, jumansti?","Mi cumpleaños es en el mes de noviembre, ¿y de vos?","My birthday is in the month of November, what about you?"
Urujax qasiwi phaxsinkiwa,Mi cumpleaños es en el mes de abril,My birthday is in the month of April
Kuna urus yuriwimaxa?,¿Qué día naciste?,What day were you born?
"Illap uru, jumasti?","Jueves, ¿y tú?","Thursday, and you?"
Janiw yatkti,No sé,I dont know
"Kullaka, kuna phaxsisa jalluxa puriñ qallti?","¿Hermana, en que mes empieza la lluvia?","Sister, in what month does the rain start?"
Lapaqa phaxina qallti,La lluvia empieza en noviembre,The rain starts in November
Jichhurux kuna urusa?,¿Qué día es hoy?,What day is today?
Jicchhurux ñanqha uruwa,Hoy es viernes,Today is Friday
Jumax kuna manqa's munta?,¿Qué comida quieres?,What food do you want?
Nayax Pique macho muntha,Yo quiero pique macho,I want pique macho
Pique machux kunjamas phayaña?,¿Cómo se cocina el pique macho?,How is pique macho cooked?
"Aychampi, salchichampix qhathiyañawa, ch'uqix thixiñawa, jumanpullampi, tomatimpi morronampix khuchhjañawa","Hay que hacer cocer la carne con salchiha, la papa hay que freir, la cebolla, tomate y morrón se corta","You have to cook the meat with sausage, the potato has to be fried, the onion, tomato and bell pepper are cut"
"Waliki, mamamax kuna manq's muniri?","Bien, ¿a tu mamá qué comida le gusta?","Well, what food does your mom like?"
Mamajax challwa muniri,A mi mamá le gusta el pescado,my mom likes fish
"Waliki kullaka, anchhitax jayp’uxiwa qharuruw aruskipañani","Bien hermana, ahora ya es tarde, mañana hablamos","Well sister, now it's late, we'll talk tomorrow"
"Jisa, qhipuruw aruskipañani. Jikisiñkam kullaka Lourdes","Si, otro día hablamos. Hasta luego hermana Lourdes","Yes, another day we talk. See you later sister Lourdes"
Jikisiñkamay kullaka Roxana,Hasta luego hermana Roxana,See you later sister Roxana
Aski urukïpan kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Kamisaki kullaka?,¿Cómo estás hermana?,How are you sister?
"Waliki, jumasti?","Bien, ¿y vos?",Well and you?
Nayax ukhamaraki kullaka,Yo también bien hermana,me too good sister
Sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
"Nayan sutijax Soniawa, jumansti?","Mi nombre es Sonia, ¿y de vos?","My name is Sonia, what about you?"
Nayan sutijax Giovanawa,Mi nombre es Giovana,My name is Giovanni
Qawqha maranitasa kullaka?,¿Cuántos años tienes hermana?,How old are you sister?
"Nayax kimsa tunka suxtani maranitwa, jumasti qawqha maranitasa?","Yo tengo 36 años, ¿y tú cuántos años tienes?","I am 36 years old, and how old are you?"
Nayax pä tunka paqallpuni maranitwa,Yo tengo 27 años,I am 27 years old
Jumax Kawkitatasa?,¿De dónde eres?,Where are you from?
"Viacha markatatwa, jumasti kullaka?","Soy de Viacha, ¿y vos hermana?","I'm from Viacha, and you sister?"
"Nayax chukiwu markatatwa, kullaka wilamasinitati?","Yo soy de La Paz, ¿hermana tienes familia?","I'm from La Paz, sister, do you have a family?"
"Jisa wilamasinakanitwa, tataja, mamaja, pusi kullakaja, mä jilajampi, jumasti wilamasinitati kullaka?","Si tengo familia, mi papá, mi mamá, mis 4 hermanas y un hermano, ¿y vos tienes familia hermana?","If I have a family, my dad, my mom, my 4 sisters and a brother, and you have a sister family?"
"Jisa nayax tatanitwa, mä jilanitwa, kimsa kullakanitwa","Si, tengo mi papá, un hermano y 3 hermanas","Yes, I have my dad, a brother and 3 sisters."
Jumax kuna luriritasa kullaka?,¿Y vos hermana a qué te dedicas?,"And you, sister, what do you do?"
"Nayax laka qulliritwa, jumasti?","Yo soy dentista, ¿y tú?","I am a dentist, and you?"
Nayax phayiritwa,Yo soy cocinera,I'm a cook
Kullaka jichhax kawkirus saräta?,"¿Hermana, ahora a dónde vas a ir?","Sister, where are you going to go now?"
Nayax qullañ utaruw sarä,Yo iré al hospital,I will go to the hospital
Kunas ustam kullaka?,¿Qué te duele hermana?,What hurts sister?
Nayrajaw usutu,Me duele mi ojo,My eye hurts
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
Ch’uspiw mich’intitu,El ch ́uspi me picó,The ch ́uspi stung me
Sintit ustam?,¿Te duele mucho?,Does it hurt a lot?
"Mawk’akiw usutu kullaka, jumasti kawkirus saräta?","Un poco me duele hermana, ¿y vos a dónde vas?","It hurts a little sister, and where are you going?"
Nayax uywanakajaru uñjiriw sarä,Yo iré a ver a mis animales,I will go see my animals
Kuna uywanakanitasa?,¿Qué animales tienes?,What animals do you have?
"Utjituwa pusi wakanaka, tunka iwijanaka, pä tunka wank’unaka, jumasti uywanitati kullata?","Tengo 4 vacas, 10 ovejas, 20 conejos, ¿Y vos tienes animales hermana?","I have 4 cows, 10 sheep, 20 rabbits, and do you have animals sister?"
"Jisa, nayax mä anu, ukhamaraki mä phisinitwa","Sí, tengo un perro y un gato","Yes, I have a dog and a cat"
Kuna saminis phisimaxa?,¿De qué color es tu gato?,What color is your cat?
Phisijax churimpi janq’umpiwa kullaka,Mi gato es naranja y blanco hermana,My cat is orange and white sister
"Waliki kullaka, jichhurux kuna urusa?","Bien hermana, ¿qué día es hoy?","Well sister, what day is it today?"
Jichhurux inti uruwa,Hoy día es domingo,today is sunday
Kuna phasinsa yuritata?,¿En qué mes naciste?,In what month were you born?
"Qasiwi phaxsina, kullaka kuna pachasa?","En el mes de abril, ¿hermana qué hora es?","In the month of April, sister, what time is it?"
Tunka k’atanakampix tunka mayani alwa pachaniwa,Menos 10 para las 11:00 de la mañana,Minus 10 for 11:00 in the morning
"Manq’iri sarañani kullaka, ukat saräta qullaññ utaru","Vamos a comer hermana, después vas al hospital","Let's eat sister, then you go to the hospital"
Kuna manq ́s munta?,¿Qué comida quieres?,What food do you want?
